Time,Stimulus,KeysPressed,FeltCorrectly,ReactionTimes
2025-12-18 14:14:28.948021,AH,,NO,
2025-12-18 14:14:34.785277,VA,,NO,
2025-12-18 14:14:43.600705,AH,,NO,
2025-12-18 14:14:52.082922,A,,NO,
2025-12-18 14:14:59.251273,VH,,NO,
2025-12-18 14:15:05.719369,AH,,NO,
2025-12-18 14:16:42.350496,H,,NO,
2025-12-18 14:16:50.629836,H,,NO,
2025-12-18 14:17:00.193490,A,,NO,
2025-12-18 14:17:06.973350,AH,,NO,
2025-12-18 14:17:15.403202,AH,,NO,
2025-12-18 14:17:24.730292,V,,NO,
2025-12-18 14:17:32.505566,VAH,,NO,
2025-12-18 14:17:40.536205,A,,NO,
2025-12-18 14:29:43.162175,AH,,NO,
2025-12-18 14:29:52.511631,VA,,NO,
2025-12-18 14:30:03.169107,VH,,NO,
2025-12-18 14:30:13.830293,H,,NO,
2025-12-18 14:30:25.120439,H,,NO,
2025-12-18 14:30:35.012636,A,,NO,
2025-12-18 14:30:45.764731,VAH,,NO,
2025-12-18 14:30:54.697259,VH,,NO,
2025-12-18 14:31:06.237110,VH,,NO,
2025-12-18 14:31:17.965344,H,,NO,
2025-12-18 14:31:28.785671,H,,NO,
2025-12-18 14:31:39.624038,VAH,,NO,
2025-12-18 14:34:48.676550,H,,NO,
2025-12-18 14:34:59.030423,H,,NO,
2025-12-18 14:35:06.566415,VA,,NO,
2025-12-18 14:35:15.135611,VAH,,NO,
2025-12-18 14:35:23.086175,H,,NO,
2025-12-18 14:35:30.633241,VH,,NO,
2025-12-18 14:35:38.688215,V,,NO,
2025-12-18 14:35:45.109007,H,,NO,
2025-12-18 14:44:33.132874,A,,NO,
2025-12-18 14:44:41.548972,VH,,NO,
2025-12-18 14:44:48.171356,VA,,NO,
2025-12-18 14:44:56.558215,V,,NO,
2025-12-18 14:45:05.410686,AH,,NO,
2025-12-18 14:45:13.303318,V,,NO,
2025-12-18 14:45:21.669618,H,,NO,
2025-12-18 14:45:29.318505,AH,,NO,
2025-12-18 14:45:38.096200,VAH,,NO,
2025-12-18 14:56:04.229185,2025-12-18 14:56:01.846861,2025-12-18 14:56:02.613948,A,"1,2,3",NO,1.004,1.743,1.951,2025-12-18 14:56:02.850423,2025-12-18 14:56:03.590043,2025-12-18 14:56:03.797957
2025-12-18 14:56:12.316109,2025-12-18 14:56:09.916839,2025-12-18 14:56:10.700267,VA,,NO,,,,,,
2025-12-18 14:56:21.669742,2025-12-18 14:56:19.172287,2025-12-18 14:56:20.054863,VAH,,NO,,,,,,
2025-12-18 14:56:30.383938,2025-12-18 14:56:28.265481,2025-12-18 14:56:28.770335,V,,NO,,,,,,
2025-12-18 14:56:39.263910,2025-12-18 14:56:36.773940,2025-12-18 14:56:37.650955,VAH,,NO,,,,,,
2025-12-18 14:56:46.914206,2025-12-18 14:56:44.687857,2025-12-18 14:56:45.301342,H,3,YES,1.195,,,2025-12-18 14:56:45.883028,,
2025-12-18 14:56:55.611318,2025-12-18 14:56:53.384734,2025-12-18 14:56:53.998229,H,,NO,,,,,,
2025-12-18 14:57:05.967252,2025-12-18 14:57:03.568671,2025-12-18 14:57:04.351585,A,2,YES,1.080,,,2025-12-18 14:57:04.648709,,
2025-12-18 14:57:14.818231,2025-12-18 14:57:12.710819,2025-12-18 14:57:13.215824,V,"3,1",NO,0.735,1.010,,2025-12-18 14:57:13.446072,2025-12-18 14:57:13.720955,
2025-12-18 14:57:21.118886,2025-12-18 14:57:18.890932,2025-12-18 14:57:19.503544,VH,"2,3",NO,1.286,1.364,,2025-12-18 14:57:20.176614,2025-12-18 14:57:20.255426,
2025-12-18 14:57:31.334560,2025-12-18 14:57:28.840998,2025-12-18 14:57:29.718878,AH,"2,3",YES,1.611,1.673,,2025-12-18 14:57:30.451865,2025-12-18 14:57:30.513838,
2025-12-18 14:57:41.226304,2025-12-18 14:57:39.100096,2025-12-18 14:57:39.610471,V,1,YES,0.708,,,2025-12-18 14:57:39.808385,,
2025-12-18 14:57:49.979267,2025-12-18 14:57:47.754306,2025-12-18 14:57:48.368261,H,,NO,,,,,,
2025-12-18 14:57:59.165851,2025-12-18 14:57:56.691245,2025-12-18 14:57:57.554918,VAH,,NO,,,,,,
2025-12-18 14:58:07.278610,2025-12-18 14:58:04.890506,2025-12-18 14:58:05.676990,VA,,NO,,,,,,
2025-12-18 14:58:15.320209,2025-12-18 14:58:13.091531,2025-12-18 14:58:13.707196,VH,,NO,,,,,,
2025-12-18 14:58:21.434551,2025-12-18 14:58:19.219099,2025-12-18 14:58:19.829976,VH,,NO,,,,,,
2025-12-18 14:58:30.336885,2025-12-18 14:58:27.948007,2025-12-18 14:58:28.720727,VA,,NO,,,,,,
2025-12-18 14:58:37.691227,2025-12-18 14:58:35.201625,2025-12-18 14:58:36.078898,VAH,,NO,,,,,,
2025-12-18 14:58:46.803150,2025-12-18 14:58:44.389544,2025-12-18 14:58:45.191868,VA,,NO,,,,,,
2025-12-18 14:58:56.743203,2025-12-18 14:58:54.627213,2025-12-18 14:58:55.129905,V,,NO,,,,,,
2025-12-18 14:59:06.813098,2025-12-18 14:59:04.704470,2025-12-18 14:59:05.208343,V,,NO,,,,,,
2025-12-18 14:59:14.404432,2025-12-18 14:59:11.920340,2025-12-18 14:59:12.793894,AH,,NO,,,,,,
2025-12-18 14:59:23.442291,2025-12-18 14:59:21.216997,2025-12-18 14:59:21.826449,H,,NO,,,,,,
2025-12-18 14:59:33.446748,2025-12-18 14:59:31.332394,2025-12-18 14:59:31.836884,V,,NO,,,,,,
2025-12-18 14:59:42.080279,2025-12-18 14:59:39.852930,2025-12-18 14:59:40.465878,VH,,NO,,,,,,
2025-12-18 14:59:50.285455,2025-12-18 14:59:47.876948,2025-12-18 14:59:48.676929,A,,NO,,,,,,
2025-12-18 14:59:59.284702,2025-12-18 14:59:56.799525,2025-12-18 14:59:57.672980,AH,,NO,,,,,,
2025-12-18 15:00:08.079035,2025-12-18 15:00:05.692661,2025-12-18 15:00:06.462899,A,,NO,,,,,,
2025-12-18 15:00:17.417783,2025-12-18 15:00:15.193496,2025-12-18 15:00:15.807549,H,,NO,,,,,,
2025-12-18 15:00:25.052478,2025-12-18 15:00:22.939057,2025-12-18 15:00:23.445644,V,,NO,,,,,,
2025-12-18 15:00:33.957436,2025-12-18 15:00:31.567817,2025-12-18 15:00:32.346949,A,,NO,,,,,,
2025-12-18 15:00:41.593264,2025-12-18 15:00:39.361397,2025-12-18 15:00:39.977423,VH,,NO,,,,,,
2025-12-18 15:00:50.758841,2025-12-18 15:00:48.268395,2025-12-18 15:00:49.145197,AH,,NO,,,,,,
2025-12-18 15:00:59.173051,2025-12-18 15:00:56.692474,2025-12-18 15:00:57.569915,AH,,NO,,,,,,
2025-12-18 15:01:06.540010,2025-12-18 15:01:04.316933,2025-12-18 15:01:04.928380,H,,NO,,,,,,
2025-12-18 15:01:13.566334,2025-12-18 15:01:11.333921,2025-12-18 15:01:11.949898,VH,,NO,,,,,,
2025-12-18 15:01:22.883302,2025-12-18 15:01:20.656514,2025-12-18 15:01:21.270196,H,,NO,,,,,,
2025-12-18 15:01:30.589895,2025-12-18 15:01:28.475234,2025-12-18 15:01:28.976479,V,,NO,,,,,,
2025-12-18 15:01:40.012021,2025-12-18 15:01:37.523022,2025-12-18 15:01:38.398091,VAH,,NO,,,,,,
2025-12-18 15:01:48.745488,2025-12-18 15:01:46.258676,2025-12-18 15:01:47.133219,VAH,,NO,,,,,,
2025-12-18 15:01:56.569215,2025-12-18 15:01:53.955666,2025-12-18 15:01:54.959904,VAH,,NO,,,,,,
2025-12-18 15:02:05.596887,2025-12-18 15:02:03.106501,2025-12-18 15:02:03.982916,VAH,,NO,,,,,,
2025-12-18 15:02:13.225420,2025-12-18 15:02:11.004239,2025-12-18 15:02:11.613859,VH,,NO,,,,,,
2025-12-18 15:02:21.799269,2025-12-18 15:02:19.322105,2025-12-18 15:02:20.197071,AH,,NO,,,,,,
2025-12-18 15:02:30.265020,2025-12-18 15:02:27.774557,2025-12-18 15:02:28.653957,AH,,NO,,,,,,
2025-12-18 15:02:38.492165,2025-12-18 15:02:36.005079,2025-12-18 15:02:36.884945,VAH,,NO,,,,,,
2025-12-18 15:02:46.342458,2025-12-18 15:02:43.949237,2025-12-18 15:02:44.732460,VA,,NO,,,,,,
2025-12-18 15:02:55.117356,2025-12-18 15:02:52.651122,2025-12-18 15:02:53.429083,VA,,NO,,,,,,
2025-12-18 15:03:01.616179,2025-12-18 15:02:59.227813,2025-12-18 15:03:00.002831,VA,,NO,,,,,,
2025-12-18 15:03:10.328205,2025-12-18 15:03:07.840885,2025-12-18 15:03:08.713827,AH,,NO,,,,,,
2025-12-18 15:03:18.741716,2025-12-18 15:03:16.621056,2025-12-18 15:03:17.126918,V,,NO,,,,,,
2025-12-18 15:03:26.278753,2025-12-18 15:03:24.158461,2025-12-18 15:03:24.664312,V,,NO,,,,,,
2025-12-18 15:03:34.235316,2025-12-18 15:03:32.006511,2025-12-18 15:03:32.618935,H,,NO,,,,,,
2025-12-18 15:03:41.804271,2025-12-18 15:03:39.334917,2025-12-18 15:03:40.200942,A,,NO,,,,,,
2025-12-18 15:03:51.352354,2025-12-18 15:03:48.978925,2025-12-18 15:03:49.747141,A,,NO,,,,,,
2025-12-18 15:04:00.565502,2025-12-18 15:03:58.340122,2025-12-18 15:03:58.949911,H,,NO,,,,,,
2025-12-18 15:04:08.343730,2025-12-18 15:04:05.957695,2025-12-18 15:04:06.727903,VA,,NO,,,,,,
2025-12-18 15:04:16.597903,2025-12-18 15:04:14.223535,2025-12-18 15:04:14.994649,A,,NO,,,,,,
2025-12-18 15:04:24.114955,2025-12-18 15:04:21.912027,2025-12-18 15:04:22.513944,H,,NO,,,,,,
2025-12-18 15:04:33.656718,2025-12-18 15:04:31.171507,2025-12-18 15:04:32.044870,VAH,,NO,,,,,,
2025-12-18 15:04:41.976166,2025-12-18 15:04:39.354614,2025-12-18 15:04:40.360020,AH,,NO,,,,,,
2025-12-18 15:04:49.812879,2025-12-18 15:04:47.325935,2025-12-18 15:04:48.200038,AH,,NO,,,,,,
2025-12-18 15:04:57.048274,2025-12-18 15:04:54.821450,2025-12-18 15:04:55.431844,VH,,NO,,,,,,
2025-12-18 15:05:03.970803,2025-12-18 15:05:01.757536,2025-12-18 15:05:02.358412,VH,,NO,,,,,,
2025-12-18 15:05:12.151622,2025-12-18 15:05:09.675750,2025-12-18 15:05:10.549683,A,,NO,,,,,,
2025-12-18 15:05:19.828347,2025-12-18 15:05:17.445883,2025-12-18 15:05:18.215854,VA,,NO,,,,,,
2025-12-18 15:05:28.630485,2025-12-18 15:05:26.259691,2025-12-18 15:05:27.028331,A,,NO,,,,,,
2025-12-18 15:05:37.970460,2025-12-18 15:05:35.591477,2025-12-18 15:05:36.359879,VA,,NO,,,,,,
2025-12-18 15:05:48.494086,2025-12-18 15:05:46.265651,2025-12-18 15:05:46.879748,VH,,NO,,,,,,
